iter time body_index x y vx vy mass
0 0 0 -0.999988 0.005 0.00249998 0.499994 1
0 0 1 0.999988 -0.005 -0.00249998 -0.499994 1
1 0.01 0 -0.99995 0.00999988 0.00499991 0.499975 1
1 0.01 1 0.99995 -0.00999988 -0.00499991 -0.499975 1
2 0.02 0 -0.999888 0.0149995 0.0074997 0.499944 1
2 0.02 1 0.999888 -0.0149995 -0.0074997 -0.499944 1
3 0.03 0 -0.9998 0.0199988 0.00999931 0.4999 1
3 0.03 1 0.9998 -0.0199988 -0.00999931 -0.4999 1
4 0.04 0 -0.999688 0.0249975 0.0124987 0.499844 1
4 0.04 1 0.999688 -0.0249975 -0.0124987 -0.499844 1
5 0.05 0 -0.99955 0.0299956 0.0149977 0.499775 1
5 0.05 1 0.99955 -0.0299956 -0.0149977 -0.499775 1
6 0.06 0 -0.999388 0.034993 0.0174964 0.499694 1
6 0.06 1 0.999388 -0.034993 -0.0174964 -0.499694 1
7 0.07 0 -0.9992 0.0399895 0.0199946 0.4996 1
7 0.07 1 0.9992 -0.0399895 -0.0199946 -0.4996 1
8 0.08 0 -0.998988 0.044985 0.0224924 0.499494 1
8 0.08 1 0.998988 -0.044985 -0.0224924 -0.499494 1
9 0.09 0 -0.99875 0.0499794 0.0249895 0.499375 1
9 0.09 1 0.99875 -0.0499794 -0.0249895 -0.499375 1
10 0.1 0 -0.998488 0.0549725 0.0274861 0.499244 1
10 0.1 1 0.998488 -0.0549725 -0.0274861 -0.499244 1
11 0.11 0 -0.998201 0.0599643 0.0299819 0.4991 1
11 0.11 1 0.998201 -0.0599643 -0.0299819 -0.4991 1
12 0.12 0 -0.997888 0.0649545 0.0324771 0.498944 1
12 0.12 1 0.997888 -0.0649545 -0.0324771 -0.498944 1
13 0.13 0 -0.997551 0.0699431 0.0349714 0.498775 1
13 0.13 1 0.997551 -0.0699431 -0.0349714 -0.498775 1
14 0.14 0 -0.997189 0.07493 0.0374648 0.498594 1
14 0.14 1 0.997189 -0.07493 -0.0374648 -0.498594 1
15 0.15 0 -0.996802 0.079915 0.0399573 0.498401 1
15 0.15 1 0.996802 -0.079915 -0.0399573 -0.498401 1
16 0.16 0 -0.99639 0.084898 0.0424488 0.498195 1
16 0.16 1 0.99639 -0.084898 -0.0424488 -0.498195 1
17 0.17 0 -0.995953 0.0898789 0.0449392 0.497976 1
17 0.17 1 0.995953 -0.0898789 -0.0449392 -0.497976 1
18 0.18 0 -0.995491 0.0948576 0.0474285 0.497745 1
18 0.18 1 0.995491 -0.0948576 -0.0474285 -0.497745 1
19 0.19 0 -0.995004 0.0998338 0.0499166 0.497502 1
19 0.19 1 0.995004 -0.0998338 -0.0499166 -0.497502 1
20 0.2 0 -0.994493 0.104808 0.0524035 0.497246 1
20 0.2 1 0.994493 -0.104808 -0.0524035 -0.497246 1
21 0.21 0 -0.993956 0.109779 0.054889 0.496978 1
21 0.21 1 0.993956 -0.109779 -0.054889 -0.496978 1
22 0.22 0 -0.993395 0.114747 0.0573732 0.496697 1
22 0.22 1 0.993395 -0.114747 -0.0573732 -0.496697 1
23 0.23 0 -0.992809 0.119713 0.059856 0.496404 1
23 0.23 1 0.992809 -0.119713 -0.059856 -0.496404 1
24 0.24 0 -0.992198 0.124675 0.0623372 0.496099 1
24 0.24 1 0.992198 -0.124675 -0.0623372 -0.496099 1
25 0.25 0 -0.991562 0.129635 0.0648169 0.495781 1
25 0.25 1 0.991562 -0.129635 -0.0648169 -0.495781 1
26 0.26 0 -0.990901 0.134591 0.067295 0.495451 1
26 0.26 1 0.990901 -0.134591 -0.067295 -0.495451 1
27 0.27 0 -0.990216 0.139544 0.0697714 0.495108 1
27 0.27 1 0.990216 -0.139544 -0.0697714 -0.495108 1
28 0.28 0 -0.989506 0.144493 0.0722461 0.494753 1
28 0.28 1 0.989506 -0.144493 -0.0722461 -0.494753 1
29 0.29 0 -0.988771 0.149439 0.0747189 0.494386 1
29 0.29 1 0.988771 -0.149439 -0.0747189 -0.494386 1
30 0.3 0 -0.988012 0.154381 0.0771899 0.494006 1
30 0.3 1 0.988012 -0.154381 -0.0771899 -0.494006 1
31 0.31 0 -0.987227 0.159319 0.0796589 0.493614 1
31 0.31 1 0.987227 -0.159319 -0.0796589 -0.493614 1
32 0.32 0 -0.986418 0.164253 0.082126 0.493209 1
32 0.32 1 0.986418 -0.164253 -0.082126 -0.493209 1
33 0.33 0 -0.985585 0.169183 0.084591 0.492792 1
33 0.33 1 0.985585 -0.169183 -0.084591 -0.492792 1
34 0.34 0 -0.984727 0.174109 0.0870539 0.492363 1
34 0.34 1 0.984727 -0.174109 -0.0870539 -0.492363 1
35 0.35 0 -0.983844 0.17903 0.0895146 0.491922 1
35 0.35 1 0.983844 -0.17903 -0.0895146 -0.491922 1
36 0.36 0 -0.982936 0.183947 0.0919731 0.491468 1
36 0.36 1 0.982936 -0.183947 -0.0919731 -0.491468 1
37 0.37 0 -0.982004 0.18886 0.0944292 0.491002 1
37 0.37 1 0.982004 -0.18886 -0.0944292 -0.491002 1
38 0.38 0 -0.981048 0.193767 0.0968831 0.490524 1
38 0.38 1 0.981048 -0.193767 -0.0968831 -0.490524 1
39 0.39 0 -0.980067 0.19867 0.0993344 0.490033 1
39 0.39 1 0.980067 -0.19867 -0.0993344 -0.490033 1
40 0.4 0 -0.979061 0.203568 0.101783 0.48953 1
40 0.4 1 0.979061 -0.203568 -0.101783 -0.48953 1
41 0.41 0 -0.978031 0.208461 0.10423 0.489015 1
41 0.41 1 0.978031 -0.208461 -0.10423 -0.489015 1
42 0.42 0 -0.976976 0.213348 0.106673 0.488488 1
42 0.42 1 0.976976 -0.213348 -0.106673 -0.488488 1
43 0.43 0 -0.975897 0.218231 0.109115 0.487949 1
43 0.43 1 0.975897 -0.218231 -0.109115 -0.487949 1
44 0.44 0 -0.974794 0.223107 0.111553 0.487397 1
44 0.44 1 0.974794 -0.223107 -0.111553 -0.487397 1
45 0.45 0 -0.973666 0.227978 0.113989 0.486833 1
45 0.45 1 0.973666 -0.227978 -0.113989 -0.486833 1
46 0.46 0 -0.972514 0.232844 0.116421 0.486257 1
46 0.46 1 0.972514 -0.232844 -0.116421 -0.486257 1
47 0.47 0 -0.971338 0.237704 0.118851 0.485669 1
47 0.47 1 0.971338 -0.237704 -0.118851 -0.485669 1
48 0.48 0 -0.970137 0.242557 0.121278 0.485069 1
48 0.48 1 0.970137 -0.242557 -0.121278 -0.485069 1
49 0.49 0 -0.968912 0.247405 0.123702 0.484456 1
49 0.49 1 0.968912 -0.247405 -0.123702 -0.484456 1
50 0.5 0 -0.967663 0.252246 0.126122 0.483832 1
50 0.5 1 0.967663 -0.252246 -0.126122 -0.483832 1
51 0.51 0 -0.96639 0.257082 0.12854 0.483195 1
51 0.51 1 0.96639 -0.257082 -0.12854 -0.483195 1
52 0.52 0 -0.965092 0.26191 0.130954 0.482546 1
52 0.52 1 0.965092 -0.26191 -0.130954 -0.482546 1
53 0.53 0 -0.963771 0.266733 0.133365 0.481885 1
53 0.53 1 0.963771 -0.266733 -0.133365 -0.481885 1
54 0.54 0 -0.962425 0.271548 0.135773 0.481213 1
54 0.54 1 0.962425 -0.271548 -0.135773 -0.481213 1
55 0.55 0 -0.961055 0.276357 0.138177 0.480528 1
55 0.55 1 0.961055 -0.276357 -0.138177 -0.480528 1
56 0.56 0 -0.959662 0.281159 0.140578 0.479831 1
56 0.56 1 0.959662 -0.281159 -0.140578 -0.479831 1
57 0.57 0 -0.958244 0.285953 0.142976 0.479122 1
57 0.57 1 0.958244 -0.285953 -0.142976 -0.479122 1
58 0.58 0 -0.956802 0.290741 0.14537 0.478401 1
58 0.58 1 0.956802 -0.290741 -0.14537 -0.478401 1
59 0.59 0 -0.955336 0.295521 0.14776 0.477668 1
59 0.59 1 0.955336 -0.295521 -0.14776 -0.477668 1
60 0.6 0 -0.953847 0.300294 0.150146 0.476923 1
60 0.6 1 0.953847 -0.300294 -0.150146 -0.476923 1
61 0.61 0 -0.952333 0.30506 0.152529 0.476167 1
61 0.61 1 0.952333 -0.30506 -0.152529 -0.476167 1
62 0.62 0 -0.950796 0.309818 0.154908 0.475398 1
62 0.62 1 0.950796 -0.309818 -0.154908 -0.475398 1
63 0.63 0 -0.949235 0.314568 0.157283 0.474618 1
63 0.63 1 0.949235 -0.314568 -0.157283 -0.474618 1
64 0.64 0 -0.947651 0.31931 0.159654 0.473825 1
64 0.64 1 0.947651 -0.31931 -0.159654 -0.473825 1
65 0.65 0 -0.946042 0.324044 0.162021 0.473021 1
65 0.65 1 0.946042 -0.324044 -0.162021 -0.473021 1
66 0.66 0 -0.94441 0.328771 0.164384 0.472205 1
66 0.66 1 0.94441 -0.328771 -0.164384 -0.472205 1
67 0.67 0 -0.942755 0.333488 0.166743 0.471377 1
67 0.67 1 0.942755 -0.333488 -0.166743 -0.471377 1
68 0.68 0 -0.941075 0.338198 0.169098 0.470538 1
68 0.68 1 0.941075 -0.338198 -0.169098 -0.470538 1
69 0.69 0 -0.939373 0.342899 0.171448 0.469686 1
69 0.69 1 0.939373 -0.342899 -0.171448 -0.469686 1
70 0.7 0 -0.937646 0.347592 0.173795 0.468823 1
70 0.7 1 0.937646 -0.347592 -0.173795 -0.468823 1
71 0.71 0 -0.935897 0.352276 0.176137 0.467948 1
71 0.71 1 0.935897 -0.352276 -0.176137 -0.467948 1
72 0.72 0 -0.934124 0.356951 0.178474 0.467062 1
72 0.72 1 0.934124 -0.356951 -0.178474 -0.467062 1
73 0.73 0 -0.932327 0.361617 0.180807 0.466164 1
73 0.73 1 0.932327 -0.361617 -0.180807 -0.466164 1
74 0.74 0 -0.930507 0.366274 0.183136 0.465254 1
74 0.74 1 0.930507 -0.366274 -0.183136 -0.465254 1
75 0.75 0 -0.928665 0.370922 0.18546 0.464332 1
75 0.75 1 0.928665 -0.370922 -0.18546 -0.464332 1
76 0.76 0 -0.926798 0.375561 0.187779 0.463399 1
76 0.76 1 0.926798 -0.375561 -0.187779 -0.463399 1
77 0.77 0 -0.924909 0.38019 0.190094 0.462454 1
77 0.77 1 0.924909 -0.38019 -0.190094 -0.462454 1
78 0.78 0 -0.922996 0.38481 0.192404 0.461498 1
78 0.78 1 0.922996 -0.38481 -0.192404 -0.461498 1
